paramID,flag,periodLen,steps
228,periodic,168.0000,5712
229,periodic,168.0000,55104
230,periodic,168.0000,45360
231,periodic,168.0000,7056
232,periodic,168.0000,113232
233,periodic,168.0000,6048
234,periodic,168.0000,7392
235,periodic,168.0000,5040
236,periodic,168.0000,25872
237,periodic,168.0000,14448
238,periodic,168.0000,6048
239,periodic,168.0000,15456
240,periodic,168.0000,7392
241,periodic,168.0000,118272
242,periodic,168.0000,6384
243,periodic,168.0000,6720
244,periodic,168.0000,5040
245,periodic,168.0000,21168
246,periodic,168.0000,10080
247,periodic,168.0000,10080
248,periodic,168.0000,7056
249,periodic,168.0000,29568
250,periodic,168.0000,5040
251,periodic,168.0000,12432
252,periodic,168.0000,5040
253,periodic,168.0000,6384
254,periodic,168.0000,45360
255,periodic,168.0000,8736
256,periodic,168.0000,5712
257,periodic,168.0000,5040
258,periodic,168.0000,21504
259,periodic,168.0000,18480
260,periodic,168.0000,23520
261,periodic,168.0000,5040
262,periodic,168.0000,5040
263,periodic,168.0000,6384
264,periodic,168.0000,16128
265,periodic,168.0000,36288
266,periodic,168.0000,13440
267,periodic,168.0000,14784
268,periodic,168.0000,28896
269,periodic,168.0000,28560
270,periodic,168.0000,26544
271,periodic,168.0000,5040
272,periodic,168.0000,7056
273,periodic,168.0000,5376
274,periodic,168.0000,24864
275,periodic,168.0000,5712
276,periodic,168.0000,8400
277,periodic,168.0000,5376
278,periodic,168.0000,14112
279,periodic,168.0000,11760
280,periodic,168.0000,27552
281,periodic,168.0000,5040
282,periodic,168.0000,5712
283,periodic,168.0000,5040
284,periodic,168.0000,9408
285,periodic,168.0000,6048
286,periodic,168.0000,17808
287,periodic,168.0000,10752
288,periodic,168.0000,9408
289,periodic,168.0000,21840
290,periodic,168.0000,24864
291,periodic,168.0000,5712
292,periodic,168.0000,5376
293,periodic,168.0000,12432
294,periodic,168.0000,8064
295,periodic,168.0000,20832
296,periodic,168.0000,5712
297,periodic,168.0000,16128
298,periodic,168.0000,34944
299,periodic,168.0000,7056
300,periodic,168.0000,9408
301,periodic,168.0000,60816
302,periodic,168.0000,5712
303,periodic,168.0000,8736
304,periodic,168.0000,5712
305,periodic,168.0000,5040
306,periodic,168.0000,5040
307,periodic,168.0000,14112
308,periodic,168.0000,5040
309,periodic,168.0000,25536
310,periodic,168.0000,6720
311,periodic,168.0000,8736
312,periodic,168.0000,5040
313,periodic,168.0000,20832
314,periodic,168.0000,66864
315,periodic,168.0000,5040
316,periodic,168.0000,5040
317,periodic,168.0000,7728
318,periodic,168.0000,32256
319,periodic,168.0000,7056
320,periodic,168.0000,27888
321,periodic,168.0000,5040
322,periodic,168.0000,12768
323,periodic,168.0000,17472
324,periodic,168.0000,32592
325,periodic,168.0000,10416
326,periodic,168.0000,11760
327,periodic,168.0000,5040
328,periodic,168.0000,14784
329,periodic,168.0000,5040
330,periodic,168.0000,15456
331,periodic,168.0000,14784
332,periodic,168.0000,44016
333,periodic,168.0000,5376
334,periodic,168.0000,5040
335,periodic,168.0000,8400
336,periodic,168.0000,18144
337,periodic,168.0000,5040
338,periodic,168.0000,5040
339,periodic,168.0000,6384
340,periodic,168.0000,9408
341,periodic,168.0000,18480
342,periodic,168.0000,5040
343,periodic,168.0000,5376
344,periodic,168.0000,5376
345,periodic,168.0000,5040
346,periodic,168.0000,21504
347,periodic,168.0000,5040
348,periodic,168.0000,7392
349,periodic,168.0000,5712
350,periodic,168.0000,5376
351,periodic,168.0000,21168
352,periodic,168.0000,7392
353,periodic,168.0000,5376
354,periodic,168.0000,7056
355,periodic,168.0000,20832
356,periodic,168.0000,10080
357,periodic,168.0000,5040
358,periodic,168.0000,10752
359,periodic,168.0000,11760
360,periodic,168.0000,5040
361,periodic,168.0000,30240
362,periodic,168.0000,5712
363,periodic,168.0000,5040
364,periodic,168.0000,28224
365,periodic,168.0000,8400
366,periodic,168.0000,18816
367,periodic,168.0000,11760
368,periodic,168.0000,6720
369,periodic,168.0000,24192
370,periodic,168.0000,30576
371,periodic,168.0000,23184
372,periodic,168.0000,14112
373,periodic,168.0000,5376
374,periodic,168.0000,5040
375,periodic,168.0000,5040
376,periodic,168.0000,6384
377,periodic,168.0000,9744
378,periodic,168.0000,29568
379,periodic,168.0000,5040
380,periodic,168.0000,5040
381,periodic,168.0000,15792
382,periodic,168.0000,5040
383,periodic,168.0000,6048
384,periodic,168.0000,10080
385,periodic,168.0000,18144
386,periodic,168.0000,5712
387,periodic,168.0000,5040
388,periodic,168.0000,5376
389,periodic,168.0000,9408
390,periodic,168.0000,6048
391,periodic,168.0000,5712
392,periodic,168.0000,10080
393,periodic,168.0000,5040
394,periodic,168.0000,23520
395,periodic,168.0000,8064
396,periodic,168.0000,5712
397,periodic,168.0000,35280
398,periodic,168.0000,10080
399,periodic,168.0000,20160
400,periodic,168.0000,5712
401,periodic,168.0000,5040
402,periodic,168.0000,5040
403,periodic,168.0000,5040
404,periodic,168.0000,6384
405,periodic,168.0000,7728
406,periodic,168.0000,7056
407,periodic,168.0000,5040
408,periodic,168.0000,13440
409,periodic,168.0000,16800
410,periodic,168.0000,5040
411,periodic,168.0000,74928
412,periodic,168.0000,9408
413,periodic,168.0000,73920
414,periodic,168.0000,5712
415,periodic,168.0000,62832
416,periodic,168.0000,5040
417,periodic,168.0000,13104
418,periodic,168.0000,8400
419,periodic,168.0000,9744
420,periodic,168.0000,9072
421,periodic,168.0000,33600
422,periodic,168.0000,5040
423,periodic,168.0000,9408
424,periodic,168.0000,5040
425,periodic,168.0000,22848
426,periodic,168.0000,12432
427,periodic,168.0000,13104
428,periodic,168.0000,8736
429,periodic,168.0000,5040
430,periodic,168.0000,5376
431,periodic,168.0000,5376
432,periodic,168.0000,5040
433,periodic,168.0000,5040
434,periodic,168.0000,28560
435,periodic,168.0000,5040
436,periodic,168.0000,12432
437,periodic,168.0000,6048
438,periodic,168.0000,12432
439,periodic,168.0000,5040
440,periodic,168.0000,25536
441,periodic,168.0000,5040
442,periodic,168.0000,17808
443,periodic,168.0000,36624
444,periodic,168.0000,105168
445,periodic,168.0000,27888
446,periodic,168.0000,5040
447,periodic,168.0000,58464
448,periodic,168.0000,6384
449,periodic,168.0000,13104
450,periodic,168.0000,29232
451,periodic,168.0000,47376
452,periodic,168.0000,5712
453,periodic,168.0000,29232
454,periodic,168.0000,17808
455,periodic,168.0000,15792
456,periodic,168.0000,5040
457,periodic,168.0000,5712
458,periodic,168.0000,39312
459,periodic,168.0000,55440
460,periodic,168.0000,5712
461,periodic,168.0000,26544
462,periodic,168.0000,5040
463,periodic,168.0000,5040
464,periodic,168.0000,6384
465,periodic,168.0000,5040
466,periodic,168.0000,23520
467,periodic,168.0000,5712
468,periodic,168.0000,5712
469,periodic,168.0000,83664
470,periodic,168.0000,5040
471,periodic,168.0000,18816
472,periodic,168.0000,8064
473,periodic,168.0000,13104
474,periodic,168.0000,17472
475,periodic,168.0000,5040
476,periodic,168.0000,40992
477,periodic,168.0000,5040
478,periodic,168.0000,7056
479,periodic,168.0000,7728
480,periodic,168.0000,7392
481,periodic,168.0000,16464
482,periodic,168.0000,6720
483,periodic,168.0000,10752
484,periodic,168.0000,57120
485,periodic,168.0000,6384
486,periodic,168.0000,32256
487,periodic,168.0000,8736
488,periodic,168.0000,5040
489,periodic,168.0000,17472
490,periodic,168.0000,7056
491,periodic,168.0000,35616
492,periodic,168.0000,18144
493,periodic,168.0000,5040
494,periodic,168.0000,5040
495,periodic,168.0000,12096
496,periodic,168.0000,7392
497,periodic,168.0000,9408
498,periodic,168.0000,5712
499,periodic,168.0000,11088
500,periodic,168.0000,12432
501,periodic,168.0000,15792
502,periodic,168.0000,28896
503,periodic,168.0000,5040
504,periodic,168.0000,5712
505,periodic,168.0000,5040
506,periodic,168.0000,12432
507,periodic,168.0000,10080
508,periodic,168.0000,5040
509,periodic,168.0000,5040
510,periodic,168.0000,32928
511,periodic,168.0000,5376
512,periodic,168.0000,5040
513,periodic,168.0000,10416
514,periodic,168.0000,10416
515,periodic,168.0000,17472
516,periodic,168.0000,30912
517,periodic,168.0000,5040
518,periodic,168.0000,47040
519,periodic,168.0000,5040
520,periodic,168.0000,5040
521,periodic,168.0000,5040
522,periodic,168.0000,5712
523,periodic,168.0000,5040
524,periodic,168.0000,75936
525,periodic,168.0000,6720
526,periodic,168.0000,9408
527,periodic,168.0000,46368
528,periodic,168.0000,5040
