paramID,flag,steps
266,periodic-1T,10416
267,periodic-1T,64176
268,periodic-1T,13776
269,periodic-1T,10416
270,periodic-1T,44688
271,periodic-1T,55104
272,periodic-1T,10416
273,periodic-1T,27216
274,periodic-1T,10080
275,periodic-1T,10416
276,periodic-1T,17472
277,periodic-1T,13776
278,periodic-1T,10080
279,periodic-1T,23856
280,periodic-1T,111216
281,periodic-1T,10416
282,periodic-1T,238896
283,periodic-1T,10080
284,periodic-1T,87360
285,periodic-1T,45360
286,periodic-1T,13776
287,periodic-1T,10416
288,periodic-1T,10416
289,periodic-1T,105840
290,periodic-1T,10416
291,periodic-1T,10752
292,periodic-1T,31584
293,periodic-1T,54096
294,periodic-1T,18144
295,periodic-1T,10752
296,periodic-1T,19488
297,periodic-1T,22176
298,periodic-1T,131712
299,periodic-1T,10416
300,periodic-1T,10416
301,periodic-1T,10752
302,periodic-1T,10416
303,periodic-1T,10416
304,periodic-1T,10416
305,periodic-1T,10416
306,periodic-1T,10080
307,periodic-1T,10416
308,periodic-1T,13776
309,periodic-1T,333984
310,periodic-1T,58464
311,periodic-1T,13776
312,periodic-1T,10080
313,periodic-1T,11424
314,periodic-1T,33936
315,periodic-1T,75600
316,periodic-1T,35616
317,periodic-1T,20832
318,periodic-1T,23856
319,periodic-1T,10416
320,periodic-1T,466704
321,periodic-1T,10752
322,periodic-1T,10416
323,periodic-1T,21504
324,periodic-1T,12096
325,periodic-1T,17136
326,periodic-1T,10416
327,periodic-1T,10416
328,periodic-1T,10416
329,periodic-1T,44016
330,periodic-1T,10416
331,periodic-1T,10416
332,periodic-1T,10080
333,periodic-1T,35280
334,periodic-1T,44016
335,periodic-1T,72240
336,periodic-1T,10080
337,periodic-1T,10752
338,periodic-1T,10416
339,periodic-1T,10416
340,periodic-1T,10752
341,periodic-1T,10080
342,periodic-1T,10416
343,periodic-1T,10080
344,periodic-1T,10080
345,periodic-1T,10416
346,periodic-1T,23856
347,periodic-1T,10416
348,periodic-1T,13776
349,periodic-1T,17472
